Gene,NCTId,Overall_Status,Conditions,Phase,Phase_Score,Status_Score,Cancer_Score,Modality_Score,Total_Score,EARLY_PHASE1,N/A,NA,PHASE1,PHASE2,PHASE3,PHASE4
XRCC4,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSMG3-AS1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAM221A,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF300,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACBD5,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAGAB,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PCGF5,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SFXN3,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAPNS1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TBC1D22A,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT1G,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPM1H,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CERS1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EFNB2,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MPRIP,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBM23,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TFAM,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITGAX,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP6V1D,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1QBP,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FKBP15,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UBXN2B,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYVN1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOR1AIP2,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNX25,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIMCH1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCFC2,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRP11,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DDX20,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POP1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRI3BP,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF117,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAI1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RGPD5,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPP3CB,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMEM147,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRPS11,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SARM1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOLGA2,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PKP4,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF213,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPECC1L,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF195,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CXXC1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTF3C2,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SETD6,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GGCX,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIMM17A,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C18orf21,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VWA5A,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCT4,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MED14,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOXN3,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSBP4,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPF1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASNSD1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELOVL7,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MINK1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPP1CC,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KLF12,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRPL42,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PACRGL,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICA1L,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KLF3,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIMA1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERI1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RHOBTB3,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBM10,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRPS2,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TBXA2R,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF76,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPS11,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAB35,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RELT,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRP8,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MKLN1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANBP6,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAGR1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZFP90,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YY1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASH1L,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC39A14,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PCED1B,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PYROXD2,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FASTKD1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCRIB,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGD5-AS1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFI27L1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNC119B,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FANCG,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMC4,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IAH1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STRIP2,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASAH2B,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF274,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAZ1A,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAMSAP2,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPP1R3F,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RASD1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DDX51,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HDHD3,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COBLL1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC33A1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HDDC2,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHF8,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAM13B,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WASL,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MED13L,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COPS7B,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF79,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAUS8,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CORO1C,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FASTKD5,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZFR,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COX8A,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRIM21,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLCN4,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FTSJ3,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF484,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARHGAP29,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VDAC1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3GNTL1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSMD13,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B4GALT3,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TBC1D9,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGFRL1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALG12,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3GALNT2,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPATA20,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSPA4,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC25A17,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TFDP1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S100A3,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NRIP1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMP1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARRDC2,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TET3,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TEX2,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAMM50,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFMID,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RASSF7,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CBR4,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YIPF5,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKAP6,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDAD1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMAP1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM9SF3,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PKIB,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAFF,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C11orf68,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMEM164,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAPPC6B,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C17orf75,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZFAND5,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MFSD3,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GSTK1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRRC2B,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
METTL21A,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMEM129,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCDC154,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNIK,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALMS1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIWIL4,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF219,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NTN4,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMZ2,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSPO4,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TUBB6,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FANCB,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD17C,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NXPH4,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STUB1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FKBP10,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BPGM,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD109,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CWF19L1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNAJB12,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL22,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UBTD2,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JAG2,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF33B,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCR3LG1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDIPT,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNF13,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KMT2B,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAPN12,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DCAF8,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANKRD40,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEMK1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNAJC17,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E2F4,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KCNQ1OT1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEMA6B,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAM118B,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERP29,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIGH,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G3BP1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZBTB40,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIGD7,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TELO2,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRPL14,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GIN1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KIAA0825,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH3GLB1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GABBR1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDCA4,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UBA6,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1orf56,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NUDT5,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMADHC,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANKDD1A,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KLHL13,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NUP54,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OSBPL10,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNRNP70,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C19orf33,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBXW11,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIGL,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAIAP2L1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHC4,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFOD2,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RFX5,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRPL47,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RMDN3,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMEM199,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF593,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBM15B,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZP3,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAGLN,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF253,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNPPD1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNAJB2,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF283,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMS22L,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSMC3IP,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QDPR,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNTB1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF551,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNAPC3,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCN2,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WDR53,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MTO1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANKS1A,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
